Soort zuivelproduct,Vervaardigd product,Jaar,Maand,Hoeveelheid  product
Melkpoeder (in kg),Volle melk (vet : 26-42%),2022,December 2022,
Melkpoeder (in kg),Volle melk (vet : 26-42%),2023,Januari 2023,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Januari 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Februari 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Maart 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,April 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Mei 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Juni 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Juli 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Augustus 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,September 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,Oktober 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,November 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2022,December 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%)",2023,Januari 2023,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,Januari 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,Februari 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,Maart 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,April 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,Mei 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,Juni 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,Juli 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,Augustus 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,September 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,Oktober 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,November 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2022,December 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): voor menselijke voeding",2023,Januari 2023,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,Januari 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,Februari 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,Maart 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,April 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,Mei 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,Juni 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,Juli 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,Augustus 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,September 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,Oktober 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,November 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2022,December 2022,
Melkpoeder (in kg),"Halfvolle melk en gedeeltelijk afgeroomde melk (vet: 1,5-26%): - voor dierlijke voeding",2023,Januari 2023,
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,Januari 2022,15834352.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,Februari 2022,14291548.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,Maart 2022,17168710.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,April 2022,17503746.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,Mei 2022,18943908.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,Juni 2022,17775248.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,Juli 2022,17469788.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,Augustus 2022,14687713.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,September 2022,14621971.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,Oktober 2022,16729175.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,November 2022,17576755.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2022,December 2022,15587242.0
Melkpoeder (in kg),"Magere melk (vet: 1,5% max.)",2023,Januari 2023,
Melkpoeder (in kg),Karnemelk,2022,Januari 2022,1014625.0
Melkpoeder (in kg),Karnemelk,2022,Februari 2022,1020350.0
Melkpoeder (in kg),Karnemelk,2022,Maart 2022,1201875.0
Melkpoeder (in kg),Karnemelk,2022,April 2022,
Melkpoeder (in kg),Karnemelk,2022,Mei 2022,
Melkpoeder (in kg),Karnemelk,2022,Juni 2022,
Melkpoeder (in kg),Karnemelk,2022,Juli 2022,
Melkpoeder (in kg),Karnemelk,2022,Augustus 2022,963825.0
Melkpoeder (in kg),Karnemelk,2022,September 2022,765875.0
Melkpoeder (in kg),Karnemelk,2022,Oktober 2022,946685.0
Melkpoeder (in kg),Karnemelk,2022,November 2022,1042190.0
Melkpoeder (in kg),Karnemelk,2022,December 2022,928029.0
Melkpoeder (in kg),Karnemelk,2023,Januari 2023,
Melkpoeder (in kg),Wei,2022,Januari 2022,
Melkpoeder (in kg),Wei,2022,Februari 2022,
Melkpoeder (in kg),Wei,2022,Maart 2022,
Melkpoeder (in kg),Wei,2022,April 2022,
Melkpoeder (in kg),Wei,2022,Mei 2022,
Melkpoeder (in kg),Wei,2022,Juni 2022,
Melkpoeder (in kg),Wei,2022,Juli 2022,
Melkpoeder (in kg),Wei,2022,Augustus 2022,
Melkpoeder (in kg),Wei,2022,September 2022,
Melkpoeder (in kg),Wei,2022,Oktober 2022,
Melkpoeder (in kg),Wei,2022,November 2022,
Melkpoeder (in kg),Wei,2022,December 2022,
Melkpoeder (in kg),Wei,2023,Januari 2023,
Melkpoeder (in kg),Andere melkproducten,2022,Januari 2022,
Melkpoeder (in kg),Andere melkproducten,2022,Februari 2022,
Melkpoeder (in kg),Andere melkproducten,2022,Maart 2022,
Melkpoeder (in kg),Andere melkproducten,2022,April 2022,
Melkpoeder (in kg),Andere melkproducten,2022,Mei 2022,
Melkpoeder (in kg),Andere melkproducten,2022,Juni 2022,
Melkpoeder (in kg),Andere melkproducten,2022,Juli 2022,
Melkpoeder (in kg),Andere melkproducten,2022,Augustus 2022,
Melkpoeder (in kg),Andere melkproducten,2022,September 2022,
Melkpoeder (in kg),Andere melkproducten,2022,Oktober 2022,
Melkpoeder (in kg),Andere melkproducten,2022,November 2022,
Melkpoeder (in kg),Andere melkproducten,2022,December 2022,
Melkpoeder (in kg),Andere melkproducten,2023,Januari 2023,
Ingedikte melk en wei (in kg),,2022,Januari 2022,
Ingedikte melk en wei (in kg),,2022,Februari 2022,
Ingedikte melk en wei (in kg),,2022,Maart 2022,
Ingedikte melk en wei (in kg),,2022,April 2022,
Ingedikte melk en wei (in kg),,2022,Mei 2022,
Ingedikte melk en wei (in kg),,2022,Juni 2022,
Ingedikte melk en wei (in kg),,2022,Juli 2022,
Ingedikte melk en wei (in kg),,2022,Augustus 2022,
Ingedikte melk en wei (in kg),,2022,September 2022,
Ingedikte melk en wei (in kg),,2022,Oktober 2022,
Ingedikte melk en wei (in kg),,2022,November 2022,
Ingedikte melk en wei (in kg),,2022,December 2022,
Ingedikte melk en wei (in kg),,2023,Januari 2023,
Kaas (in kg),Verse kaas: natuur,2022,Januari 2022,913349.0
Kaas (in kg),Verse kaas: natuur,2022,Februari 2022,903898.0
Kaas (in kg),Verse kaas: natuur,2022,Maart 2022,961594.0
Kaas (in kg),Verse kaas: natuur,2022,April 2022,982397.0
Kaas (in kg),Verse kaas: natuur,2022,Mei 2022,1274159.0
Kaas (in kg),Verse kaas: natuur,2022,Juni 2022,1157000.0
Kaas (in kg),Verse kaas: natuur,2022,Juli 2022,1111517.0
Kaas (in kg),Verse kaas: natuur,2022,Augustus 2022,1090229.0
Kaas (in kg),Verse kaas: natuur,2022,September 2022,1264997.0
Kaas (in kg),Verse kaas: natuur,2022,Oktober 2022,1094726.0
Kaas (in kg),Verse kaas: natuur,2022,November 2022,957270.0
Kaas (in kg),Verse kaas: natuur,2022,December 2022,996761.0
Kaas (in kg),Verse kaas: natuur,2023,Januari 2023,
Kaas (in kg),Verse kaas: ricotta,2022,Januari 2022,7785.0
Kaas (in kg),Verse kaas: ricotta,2022,Februari 2022,10256.0
Kaas (in kg),Verse kaas: ricotta,2022,Maart 2022,12653.0
Kaas (in kg),Verse kaas: ricotta,2022,April 2022,13100.0
Kaas (in kg),Verse kaas: ricotta,2022,Mei 2022,11565.0
Kaas (in kg),Verse kaas: ricotta,2022,Juni 2022,10546.0
Kaas (in kg),Verse kaas: ricotta,2022,Juli 2022,5132.0
Kaas (in kg),Verse kaas: ricotta,2022,Augustus 2022,5298.0
Kaas (in kg),Verse kaas: ricotta,2022,September 2022,9448.0
Kaas (in kg),Verse kaas: ricotta,2022,Oktober 2022,10675.0
Kaas (in kg),Verse kaas: ricotta,2022,November 2022,10812.0
Kaas (in kg),Verse kaas: ricotta,2022,December 2022,12106.0
Kaas (in kg),Verse kaas: ricotta,2023,Januari 2023,
Kaas (in kg),Verse kaas: andere,2022,Januari 2022,14732.0
Kaas (in kg),Verse kaas: andere,2022,Februari 2022,11793.0
Kaas (in kg),Verse kaas: andere,2022,Maart 2022,10767.0
Kaas (in kg),Verse kaas: andere,2022,April 2022,11478.0
Kaas (in kg),Verse kaas: andere,2022,Mei 2022,15854.0
Kaas (in kg),Verse kaas: andere,2022,Juni 2022,14706.0
Kaas (in kg),Verse kaas: andere,2022,Juli 2022,9544.0
Kaas (in kg),Verse kaas: andere,2022,Augustus 2022,15035.0
Kaas (in kg),Verse kaas: andere,2022,September 2022,13747.0
Kaas (in kg),Verse kaas: andere,2022,Oktober 2022,11566.0
Kaas (in kg),Verse kaas: andere,2022,November 2022,12462.0
Kaas (in kg),Verse kaas: andere,2022,December 2022,12433.0
Kaas (in kg),Verse kaas: andere,2023,Januari 2023,
Kaas (in kg),Wrongel,2022,Januari 2022,
Kaas (in kg),Wrongel,2022,Februari 2022,
Kaas (in kg),Wrongel,2022,Maart 2022,
Kaas (in kg),Wrongel,2022,April 2022,
Kaas (in kg),Wrongel,2022,Mei 2022,
Kaas (in kg),Wrongel,2022,Juni 2022,
Kaas (in kg),Wrongel,2022,Juli 2022,
Kaas (in kg),Wrongel,2022,Augustus 2022,
Kaas (in kg),Wrongel,2022,September 2022,
Kaas (in kg),Wrongel,2022,Oktober 2022,
Kaas (in kg),Wrongel,2022,November 2022,
Kaas (in kg),Wrongel,2022,December 2022,
Kaas (in kg),Wrongel,2023,Januari 2023,
Kaas (in kg),Cheddar,2022,Januari 2022,
Kaas (in kg),Cheddar,2022,Februari 2022,
Kaas (in kg),Cheddar,2022,Maart 2022,
Kaas (in kg),Cheddar,2022,April 2022,
Kaas (in kg),Cheddar,2022,Mei 2022,
Kaas (in kg),Cheddar,2022,Juni 2022,
Kaas (in kg),Cheddar,2022,Juli 2022,
Kaas (in kg),Cheddar,2022,Augustus 2022,
Kaas (in kg),Cheddar,2022,September 2022,
Kaas (in kg),Cheddar,2022,Oktober 2022,
Kaas (in kg),Cheddar,2022,November 2022,
Kaas (in kg),Cheddar,2022,December 2022,
Kaas (in kg),Cheddar,2023,Januari 2023,
Kaas (in kg),Gouda,2022,Januari 2022,853138.0
Kaas (in kg),Gouda,2022,Februari 2022,866597.0
Kaas (in kg),Gouda,2022,Maart 2022,1000107.0
Kaas (in kg),Gouda,2022,April 2022,550398.0
Kaas (in kg),Gouda,2022,Mei 2022,301882.0
Kaas (in kg),Gouda,2022,Juni 2022,698842.0
Kaas (in kg),Gouda,2022,Juli 2022,504238.0
Kaas (in kg),Gouda,2022,Augustus 2022,896406.0
Kaas (in kg),Gouda,2022,September 2022,891521.0
Kaas (in kg),Gouda,2022,Oktober 2022,572624.0
Kaas (in kg),Gouda,2022,November 2022,762387.0
Kaas (in kg),Gouda,2022,December 2022,780930.0
Kaas (in kg),Gouda,2023,Januari 2023,
Kaas (in kg),Herve,2022,Januari 2022,
Kaas (in kg),Herve,2022,Februari 2022,
Kaas (in kg),Herve,2022,Maart 2022,
Kaas (in kg),Herve,2022,April 2022,
Kaas (in kg),Herve,2022,Mei 2022,
Kaas (in kg),Herve,2022,Juni 2022,
Kaas (in kg),Herve,2022,Juli 2022,
Kaas (in kg),Herve,2022,Augustus 2022,
Kaas (in kg),Herve,2022,September 2022,
Kaas (in kg),Herve,2022,Oktober 2022,
Kaas (in kg),Herve,2022,November 2022,
Kaas (in kg),Herve,2022,December 2022,
Kaas (in kg),Herve,2023,Januari 2023,
Kaas (in kg),Mozzarella,2022,Januari 2022,5457552.0
Kaas (in kg),Mozzarella,2022,Februari 2022,4876390.0
Kaas (in kg),Mozzarella,2022,Maart 2022,5605540.0
Kaas (in kg),Mozzarella,2022,April 2022,5553269.0
Kaas (in kg),Mozzarella,2022,Mei 2022,6096033.0
Kaas (in kg),Mozzarella,2022,Juni 2022,5050763.0
Kaas (in kg),Mozzarella,2022,Juli 2022,6025966.0
Kaas (in kg),Mozzarella,2022,Augustus 2022,6510535.0
Kaas (in kg),Mozzarella,2022,September 2022,4627747.0
Kaas (in kg),Mozzarella,2022,Oktober 2022,6121633.0
Kaas (in kg),Mozzarella,2022,November 2022,6371863.0
Kaas (in kg),Mozzarella,2022,December 2022,6273215.0
Kaas (in kg),Mozzarella,2023,Januari 2023,
Kaas (in kg),Andere Italiaanse kazen,2022,Januari 2022,3029.0
Kaas (in kg),Andere Italiaanse kazen,2022,Februari 2022,2591.0
Kaas (in kg),Andere Italiaanse kazen,2022,Maart 2022,2691.0
Kaas (in kg),Andere Italiaanse kazen,2022,April 2022,4246.0
Kaas (in kg),Andere Italiaanse kazen,2022,Mei 2022,3057.0
Kaas (in kg),Andere Italiaanse kazen,2022,Juni 2022,3347.0
Kaas (in kg),Andere Italiaanse kazen,2022,Juli 2022,2729.0
Kaas (in kg),Andere Italiaanse kazen,2022,Augustus 2022,2041.0
Kaas (in kg),Andere Italiaanse kazen,2022,September 2022,3064.0
Kaas (in kg),Andere Italiaanse kazen,2022,Oktober 2022,2234.0
Kaas (in kg),Andere Italiaanse kazen,2022,November 2022,2951.0
Kaas (in kg),Andere Italiaanse kazen,2022,December 2022,3756.0
Kaas (in kg),Andere Italiaanse kazen,2023,Januari 2023,
Kaas (in kg),Andere kazen,2022,Januari 2022,2518296.0
Kaas (in kg),Andere kazen,2022,Februari 2022,2243401.0
Kaas (in kg),Andere kazen,2022,Maart 2022,1959043.0
Kaas (in kg),Andere kazen,2022,April 2022,2005546.0
Kaas (in kg),Andere kazen,2022,Mei 2022,1461953.0
Kaas (in kg),Andere kazen,2022,Juni 2022,1476665.0
Kaas (in kg),Andere kazen,2022,Juli 2022,1917127.0
Kaas (in kg),Andere kazen,2022,Augustus 2022,2038316.0
Kaas (in kg),Andere kazen,2022,September 2022,1864569.0
Kaas (in kg),Andere kazen,2022,Oktober 2022,2063272.0
Kaas (in kg),Andere kazen,2022,November 2022,2722995.0
Kaas (in kg),Andere kazen,2022,December 2022,2146755.0
Kaas (in kg),Andere kazen,2023,Januari 2023,
Kaas (in kg),Smeltkaas,2022,Januari 2022,1340797.0
Kaas (in kg),Smeltkaas,2022,Februari 2022,1134506.0
Kaas (in kg),Smeltkaas,2022,Maart 2022,1103669.0
Kaas (in kg),Smeltkaas,2022,April 2022,794172.0
Kaas (in kg),Smeltkaas,2022,Mei 2022,843694.0
Kaas (in kg),Smeltkaas,2022,Juni 2022,1201749.0
Kaas (in kg),Smeltkaas,2022,Juli 2022,612979.0
Kaas (in kg),Smeltkaas,2022,Augustus 2022,1007881.0
Kaas (in kg),Smeltkaas,2022,September 2022,896781.0
Kaas (in kg),Smeltkaas,2022,Oktober 2022,984148.0
Kaas (in kg),Smeltkaas,2022,November 2022,895814.0
Kaas (in kg),Smeltkaas,2022,December 2022,642825.0
Kaas (in kg),Smeltkaas,2023,Januari 2023,
Ijs (in kg),ijs,2022,Januari 2022,3782545.0
Ijs (in kg),ijs,2022,Februari 2022,5842797.0
Ijs (in kg),ijs,2022,Maart 2022,7353201.0
Ijs (in kg),ijs,2022,April 2022,6775282.0
Ijs (in kg),ijs,2022,Mei 2022,7150368.0
Ijs (in kg),ijs,2022,Juni 2022,7307169.0
Ijs (in kg),ijs,2022,Juli 2022,5781151.0
Ijs (in kg),ijs,2022,Augustus 2022,5532810.0
Ijs (in kg),ijs,2022,September 2022,5095852.0
Ijs (in kg),ijs,2022,Oktober 2022,3143658.0
Ijs (in kg),ijs,2022,November 2022,2844178.0
Ijs (in kg),ijs,2022,December 2022,2611158.0
Ijs (in kg),ijs,2023,Januari 2023,
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,Januari 2022,80849.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,Februari 2022,81485.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,Maart 2022,385614.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,April 2022,274630.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,Mei 2022,353478.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,Juni 2022,238136.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,Juli 2022,251675.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,Augustus 2022,341568.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,September 2022,134507.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,Oktober 2022,128540.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,November 2022,89590.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2022,December 2022,92332.0
Ijs (in kg),Basisbereidingen voor consumptie-ijs,2023,Januari 2023,
Andere (in kg),Caseïne/Caseïnaten,2022,Januari 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,Februari 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,Maart 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,April 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,Mei 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,Juni 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,Juli 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,Augustus 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,September 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,Oktober 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,November 2022,
Andere (in kg),Caseïne/Caseïnaten,2022,December 2022,
Andere (in kg),Caseïne/Caseïnaten,2023,Januari 2023,
Andere (in kg),Andere melkeiwitten,2022,Januari 2022,
Andere (in kg),Andere melkeiwitten,2022,Februari 2022,
Andere (in kg),Andere melkeiwitten,2022,Maart 2022,
Andere (in kg),Andere melkeiwitten,2022,April 2022,
Andere (in kg),Andere melkeiwitten,2022,Mei 2022,
Andere (in kg),Andere melkeiwitten,2022,Juni 2022,
Andere (in kg),Andere melkeiwitten,2022,Juli 2022,
Andere (in kg),Andere melkeiwitten,2022,Augustus 2022,
Andere (in kg),Andere melkeiwitten,2022,September 2022,
Andere (in kg),Andere melkeiwitten,2022,Oktober 2022,
Andere (in kg),Andere melkeiwitten,2022,November 2022,
Andere (in kg),Andere melkeiwitten,2022,December 2022,
Andere (in kg),Andere melkeiwitten,2023,Januari 2023,
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,Januari 2022,64799.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,Februari 2022,64693.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,Maart 2022,53042.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,April 2022,13548.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,Mei 2022,97680.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,Juni 2022,35054.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,Juli 2022,
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,Augustus 2022,14795.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,September 2022,73660.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,Oktober 2022,40163.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,November 2022,36273.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2022,December 2022,82645.0
Andere (in kg),"Andere afgeleide zuivelproducten (matten, ...)",2023,Januari 2023,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,Januari 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,Februari 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,Maart 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,April 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,Mei 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,Juni 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,Juli 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,Augustus 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,September 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,Oktober 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,November 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2022,December 2022,
Andere (in kg),"Teruggave aan de veehouders (Magere melk, karnemelk)",2023,Januari 2023,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,Januari 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,Februari 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,Maart 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,April 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,Mei 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,Juni 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,Juli 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,Augustus 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,September 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,Oktober 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,November 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2022,December 2022,
Andere (in kg),"Kunstmatig aangezuurde producten (karnemelk, magere melk, mengsels)",2023,Januari 2023,
Andere (in kg),Melk bestemd voor veevoeders,2022,Januari 2022,742385.0
Andere (in kg),Melk bestemd voor veevoeders,2022,Februari 2022,902748.0
Andere (in kg),Melk bestemd voor veevoeders,2022,Maart 2022,1035455.0
Andere (in kg),Melk bestemd voor veevoeders,2022,April 2022,922552.0
Andere (in kg),Melk bestemd voor veevoeders,2022,Mei 2022,996147.0
Andere (in kg),Melk bestemd voor veevoeders,2022,Juni 2022,1066262.0
Andere (in kg),Melk bestemd voor veevoeders,2022,Juli 2022,963276.0
Andere (in kg),Melk bestemd voor veevoeders,2022,Augustus 2022,1342505.0
Andere (in kg),Melk bestemd voor veevoeders,2022,September 2022,1443396.0
Andere (in kg),Melk bestemd voor veevoeders,2022,Oktober 2022,1230125.0
Andere (in kg),Melk bestemd voor veevoeders,2022,November 2022,1204733.0
Andere (in kg),Melk bestemd voor veevoeders,2022,December 2022,1426183.0
Andere (in kg),Melk bestemd voor veevoeders,2023,Januari 2023,
