Sectie,Maand,Btw-plichtig ond. aan het einde van de maand
"A Landbouw, bosbouw en visserij",Februari 2022,50028
"A Landbouw, bosbouw en visserij",Maart 2022,49953
"A Landbouw, bosbouw en visserij",April 2022,49996
"A Landbouw, bosbouw en visserij",Mei 2022,49967
"A Landbouw, bosbouw en visserij",Juni 2022,49903
"A Landbouw, bosbouw en visserij",Juli 2022,49945
"A Landbouw, bosbouw en visserij",Augustus 2022,49970
"A Landbouw, bosbouw en visserij",September 2022,49955
"A Landbouw, bosbouw en visserij",Oktober 2022,49983
"A Landbouw, bosbouw en visserij",November 2022,49982
"A Landbouw, bosbouw en visserij",December 2022,49792
"A Landbouw, bosbouw en visserij",Januari 2023,49776
"A Landbouw, bosbouw en visserij",Februari 2023,49768
B Winning van delfstoffen,Februari 2022,208
B Winning van delfstoffen,Maart 2022,207
B Winning van delfstoffen,April 2022,207
B Winning van delfstoffen,Mei 2022,210
B Winning van delfstoffen,Juni 2022,210
B Winning van delfstoffen,Juli 2022,210
B Winning van delfstoffen,Augustus 2022,209
B Winning van delfstoffen,September 2022,208
B Winning van delfstoffen,Oktober 2022,209
B Winning van delfstoffen,November 2022,211
B Winning van delfstoffen,December 2022,211
B Winning van delfstoffen,Januari 2023,211
B Winning van delfstoffen,Februari 2023,211
C Industrie,Februari 2022,56215
C Industrie,Maart 2022,56151
C Industrie,April 2022,56399
C Industrie,Mei 2022,56509
C Industrie,Juni 2022,56425
C Industrie,Juli 2022,56545
C Industrie,Augustus 2022,56654
C Industrie,September 2022,56620
C Industrie,Oktober 2022,56885
C Industrie,November 2022,56982
C Industrie,December 2022,56680
C Industrie,Januari 2023,56656
C Industrie,Februari 2023,56724
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Februari 2022,1360
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Maart 2022,1362
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",April 2022,1359
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Mei 2022,1356
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Juni 2022,1346
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Juli 2022,1350
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Augustus 2022,1355
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",September 2022,1350
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Oktober 2022,1359
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",November 2022,1360
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",December 2022,1358
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Januari 2023,1361
"D Productie en distributie van elektriciteit, gas, stoom en gekoelde lucht",Februari 2023,1369
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Februari 2022,1773
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Maart 2022,1767
E Distributie van water/ afval- en afvalwaterbeheer en sanering,April 2022,1788
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Mei 2022,1794
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Juni 2022,1798
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Juli 2022,1809
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Augustus 2022,1815
E Distributie van water/ afval- en afvalwaterbeheer en sanering,September 2022,1821
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Oktober 2022,1825
E Distributie van water/ afval- en afvalwaterbeheer en sanering,November 2022,1839
E Distributie van water/ afval- en afvalwaterbeheer en sanering,December 2022,1835
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Januari 2023,1837
E Distributie van water/ afval- en afvalwaterbeheer en sanering,Februari 2023,1845
F Bouwnijverheid,Februari 2022,152660
F Bouwnijverheid,Maart 2022,152768
F Bouwnijverheid,April 2022,153728
F Bouwnijverheid,Mei 2022,154400
F Bouwnijverheid,Juni 2022,154655
F Bouwnijverheid,Juli 2022,155290
F Bouwnijverheid,Augustus 2022,155752
F Bouwnijverheid,September 2022,155959
F Bouwnijverheid,Oktober 2022,156969
F Bouwnijverheid,November 2022,157634
F Bouwnijverheid,December 2022,157323
F Bouwnijverheid,Januari 2023,157677
F Bouwnijverheid,Februari 2023,158223
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Februari 2022,189755
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Maart 2022,189387
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,April 2022,189727
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Mei 2022,189823
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Juni 2022,189235
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Juli 2022,189376
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Augustus 2022,189581
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,September 2022,189146
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Oktober 2022,189624
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,November 2022,189857
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,December 2022,188878
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Januari 2023,188503
G Groot- en detailhandel/ reparatie van auto’s en motorfietsen,Februari 2023,188528
H Vervoer en opslag,Februari 2022,29989
H Vervoer en opslag,Maart 2022,29947
H Vervoer en opslag,April 2022,30002
H Vervoer en opslag,Mei 2022,30076
H Vervoer en opslag,Juni 2022,30056
H Vervoer en opslag,Juli 2022,30109
H Vervoer en opslag,Augustus 2022,30140
H Vervoer en opslag,September 2022,30132
H Vervoer en opslag,Oktober 2022,30289
H Vervoer en opslag,November 2022,30355
H Vervoer en opslag,December 2022,30283
H Vervoer en opslag,Januari 2023,30332
H Vervoer en opslag,Februari 2023,30378
I Verschaffen van accommodatie en maaltijden,Februari 2022,62704
I Verschaffen van accommodatie en maaltijden,Maart 2022,62590
I Verschaffen van accommodatie en maaltijden,April 2022,62910
I Verschaffen van accommodatie en maaltijden,Mei 2022,63107
I Verschaffen van accommodatie en maaltijden,Juni 2022,63190
I Verschaffen van accommodatie en maaltijden,Juli 2022,63569
I Verschaffen van accommodatie en maaltijden,Augustus 2022,63683
I Verschaffen van accommodatie en maaltijden,September 2022,63631
I Verschaffen van accommodatie en maaltijden,Oktober 2022,63901
I Verschaffen van accommodatie en maaltijden,November 2022,64028
I Verschaffen van accommodatie en maaltijden,December 2022,63816
I Verschaffen van accommodatie en maaltijden,Januari 2023,63699
I Verschaffen van accommodatie en maaltijden,Februari 2023,63712
J Informatie en communicatie,Februari 2022,58907
J Informatie en communicatie,Maart 2022,59003
J Informatie en communicatie,April 2022,59412
J Informatie en communicatie,Mei 2022,59719
J Informatie en communicatie,Juni 2022,59823
J Informatie en communicatie,Juli 2022,60169
J Informatie en communicatie,Augustus 2022,60418
J Informatie en communicatie,September 2022,60532
J Informatie en communicatie,Oktober 2022,60998
J Informatie en communicatie,November 2022,61275
J Informatie en communicatie,December 2022,61182
J Informatie en communicatie,Januari 2023,61539
J Informatie en communicatie,Februari 2023,61786
K Financiële activiteiten en verzekeringen,Februari 2022,9285
K Financiële activiteiten en verzekeringen,Maart 2022,9307
K Financiële activiteiten en verzekeringen,April 2022,9385
K Financiële activiteiten en verzekeringen,Mei 2022,9426
K Financiële activiteiten en verzekeringen,Juni 2022,9431
K Financiële activiteiten en verzekeringen,Juli 2022,9476
K Financiële activiteiten en verzekeringen,Augustus 2022,9512
K Financiële activiteiten en verzekeringen,September 2022,9525
K Financiële activiteiten en verzekeringen,Oktober 2022,9554
K Financiële activiteiten en verzekeringen,November 2022,9579
K Financiële activiteiten en verzekeringen,December 2022,9571
K Financiële activiteiten en verzekeringen,Januari 2023,9606
K Financiële activiteiten en verzekeringen,Februari 2023,9645
L Exploitatie van en handel in onroerend goed,Februari 2022,33280
L Exploitatie van en handel in onroerend goed,Maart 2022,33302
L Exploitatie van en handel in onroerend goed,April 2022,33422
L Exploitatie van en handel in onroerend goed,Mei 2022,33529
L Exploitatie van en handel in onroerend goed,Juni 2022,33586
L Exploitatie van en handel in onroerend goed,Juli 2022,33739
L Exploitatie van en handel in onroerend goed,Augustus 2022,33861
L Exploitatie van en handel in onroerend goed,September 2022,33923
L Exploitatie van en handel in onroerend goed,Oktober 2022,34186
L Exploitatie van en handel in onroerend goed,November 2022,34355
L Exploitatie van en handel in onroerend goed,December 2022,34386
L Exploitatie van en handel in onroerend goed,Januari 2023,34475
L Exploitatie van en handel in onroerend goed,Februari 2023,34606
M Vrije beroepen en wetenschappelijke en technische activiteiten,Februari 2022,217801
M Vrije beroepen en wetenschappelijke en technische activiteiten,Maart 2022,217860
M Vrije beroepen en wetenschappelijke en technische activiteiten,April 2022,218835
M Vrije beroepen en wetenschappelijke en technische activiteiten,Mei 2022,219619
M Vrije beroepen en wetenschappelijke en technische activiteiten,Juni 2022,219633
M Vrije beroepen en wetenschappelijke en technische activiteiten,Juli 2022,220496
M Vrije beroepen en wetenschappelijke en technische activiteiten,Augustus 2022,221189
M Vrije beroepen en wetenschappelijke en technische activiteiten,September 2022,221763
M Vrije beroepen en wetenschappelijke en technische activiteiten,Oktober 2022,223565
M Vrije beroepen en wetenschappelijke en technische activiteiten,November 2022,224434
M Vrije beroepen en wetenschappelijke en technische activiteiten,December 2022,224076
M Vrije beroepen en wetenschappelijke en technische activiteiten,Januari 2023,224873
M Vrije beroepen en wetenschappelijke en technische activiteiten,Februari 2023,225746
N Administratieve en ondersteunende diensten,Februari 2022,68065
N Administratieve en ondersteunende diensten,Maart 2022,68192
N Administratieve en ondersteunende diensten,April 2022,68799
N Administratieve en ondersteunende diensten,Mei 2022,69211
N Administratieve en ondersteunende diensten,Juni 2022,69311
N Administratieve en ondersteunende diensten,Juli 2022,69911
N Administratieve en ondersteunende diensten,Augustus 2022,70152
N Administratieve en ondersteunende diensten,September 2022,70266
N Administratieve en ondersteunende diensten,Oktober 2022,70892
N Administratieve en ondersteunende diensten,November 2022,71187
N Administratieve en ondersteunende diensten,December 2022,71053
N Administratieve en ondersteunende diensten,Januari 2023,71425
N Administratieve en ondersteunende diensten,Februari 2023,71765
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,Februari 2022,928
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,Maart 2022,925
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,April 2022,906
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,Mei 2022,909
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,Juni 2022,909
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,Juli 2022,912
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,Augustus 2022,912
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,September 2022,915
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,Oktober 2022,919
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,November 2022,920
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,December 2022,921
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,Januari 2023,927
O Openbaar bestuur en defensie/ verplichte sociale verzekeringen,Februari 2023,930
P Onderwijs,Februari 2022,24976
P Onderwijs,Maart 2022,25026
P Onderwijs,April 2022,25325
P Onderwijs,Mei 2022,25440
P Onderwijs,Juni 2022,25422
P Onderwijs,Juli 2022,25582
P Onderwijs,Augustus 2022,25672
P Onderwijs,September 2022,25793
P Onderwijs,Oktober 2022,26181
P Onderwijs,November 2022,26306
P Onderwijs,December 2022,26164
P Onderwijs,Januari 2023,26370
P Onderwijs,Februari 2023,26501
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,Februari 2022,42184
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,Maart 2022,43076
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,April 2022,43855
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,Mei 2022,44336
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,Juni 2022,44630
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,Juli 2022,45319
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,Augustus 2022,45705
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,September 2022,45978
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,Oktober 2022,46685
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,November 2022,47100
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,December 2022,47130
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,Januari 2023,47661
Q Menselijke gezondheidszorg en maatschappelijke dienstverlening,Februari 2023,47999
"R Kunst, amusement en recreatie",Februari 2022,41587
"R Kunst, amusement en recreatie",Maart 2022,41623
"R Kunst, amusement en recreatie",April 2022,41931
"R Kunst, amusement en recreatie",Mei 2022,42137
"R Kunst, amusement en recreatie",Juni 2022,42208
"R Kunst, amusement en recreatie",Juli 2022,42492
"R Kunst, amusement en recreatie",Augustus 2022,42699
"R Kunst, amusement en recreatie",September 2022,42778
"R Kunst, amusement en recreatie",Oktober 2022,43134
"R Kunst, amusement en recreatie",November 2022,43299
"R Kunst, amusement en recreatie",December 2022,43245
"R Kunst, amusement en recreatie",Januari 2023,43471
"R Kunst, amusement en recreatie",Februari 2023,43636
S Overige diensten,Februari 2022,74014
S Overige diensten,Maart 2022,73883
S Overige diensten,April 2022,74361
S Overige diensten,Mei 2022,74593
S Overige diensten,Juni 2022,74424
S Overige diensten,Juli 2022,74813
S Overige diensten,Augustus 2022,74902
S Overige diensten,September 2022,74796
S Overige diensten,Oktober 2022,75300
S Overige diensten,November 2022,75492
S Overige diensten,December 2022,75021
S Overige diensten,Januari 2023,75254
S Overige diensten,Februari 2023,75402
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,Februari 2022,131
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,Maart 2022,131
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,April 2022,144
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,Mei 2022,152
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,Juni 2022,158
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,Juli 2022,169
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,Augustus 2022,169
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,September 2022,171
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,Oktober 2022,176
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,November 2022,180
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,December 2022,181
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,Januari 2023,185
T Huishoudens als werkgever/ niet-gedifferentieerde productie van goederen en diensten door huishoudens voor eigen gebruik,Februari 2023,187
U Extraterritoriale organisaties en lichamen,Februari 2022,23
U Extraterritoriale organisaties en lichamen,Maart 2022,23
U Extraterritoriale organisaties en lichamen,April 2022,23
U Extraterritoriale organisaties en lichamen,Mei 2022,26
U Extraterritoriale organisaties en lichamen,Juni 2022,26
U Extraterritoriale organisaties en lichamen,Juli 2022,26
U Extraterritoriale organisaties en lichamen,Augustus 2022,28
U Extraterritoriale organisaties en lichamen,September 2022,27
U Extraterritoriale organisaties en lichamen,Oktober 2022,27
U Extraterritoriale organisaties en lichamen,November 2022,27
U Extraterritoriale organisaties en lichamen,December 2022,27
U Extraterritoriale organisaties en lichamen,Januari 2023,26
U Extraterritoriale organisaties en lichamen,Februari 2023,26
Onbekende economische activiteit,Februari 2022,272
Onbekende economische activiteit,Maart 2022,270
Onbekende economische activiteit,April 2022,276
Onbekende economische activiteit,Mei 2022,255
Onbekende economische activiteit,Juni 2022,256
Onbekende economische activiteit,Juli 2022,263
Onbekende economische activiteit,Augustus 2022,261
Onbekende economische activiteit,September 2022,259
Onbekende economische activiteit,Oktober 2022,262
Onbekende economische activiteit,November 2022,271
Onbekende economische activiteit,December 2022,270
Onbekende economische activiteit,Januari 2023,308
Onbekende economische activiteit,Februari 2023,348
